,domain,keyword_title,url,ts,date,p,search_volume,cpc,competition,visibility,branded
160,manomano.fr,deco murale,https://www.manomano.fr/cat/decoration+murale+metal,2022-05-09 03:16:03,2022-05-09,5,60500,0,0,3690,0
161,manomano.fr,velux,https://www.manomano.fr/cat/fenetre+velux,2022-05-09 03:10:10,2022-05-09,5,60500,0,0,3690,0
162,manomano.fr,bride vue,https://www.manomano.fr/cat/brise+vue+jardin,2022-05-09 03:10:16,2022-05-09,8,110000,0,0,3410,0
163,manomano.fr,poeles a granule,https://www.manomano.fr/poele-a-granules-et-pellets-2671,2022-05-09 03:10:16,2022-05-09,8,110000,0,0,3410,0
164,manomano.fr,adoucisseur d eau,https://www.manomano.fr/adoucisseur-deau-1676,2022-05-09 03:16:10,2022-05-09,4,40500,0,0,3280,0
165,manomano.fr,alarme maison,https://www.manomano.fr/alarme-maison-233,2022-05-09 03:05:58,2022-05-09,4,40500,0,0,3280,0
166,manomano.fr,ampoule les,https://www.manomano.fr/ampoule-led-3401,2022-05-09 03:16:05,2022-05-09,4,40500,0,0,3280,0
167,manomano.fr,ampoules led,https://www.manomano.fr/ampoule-led-3401,2022-05-09 03:12:51,2022-05-09,4,40500,0,0,3280,0
168,manomano.fr,calle bois,https://www.manomano.fr/cat/calle+bois,2022-05-09 03:06:06,2022-05-09,4,40500,0,0,3280,0
169,manomano.fr,chaises de bar,https://www.manomano.fr/tabouret-de-bar-154,2022-05-09 03:10:16,2022-05-09,4,40500,0,0,3280,0
170,manomano.fr,coiffeuse meuble,https://www.manomano.fr/coiffeuse-4581,2022-05-09 03:22:26,2022-05-09,4,40500,0,0,3280,0
171,manomano.fr,dalles terrasse,https://www.manomano.fr/cat/dalle+terrasse,2022-05-09 03:12:57,2022-05-09,4,40500,0,0,3280,0
172,manomano.fr,deshumidificateur,https://www.manomano.fr/conseil/comment-choisir-son-deshumidificateur-d-air-2626,2022-05-09 03:20:08,2022-05-09,4,40500,0,0,3280,0
173,manomano.fr,etendoir a linges,https://www.manomano.fr/etendoir-a-linge-4652,2022-05-09 03:10:03,2022-05-09,4,40500,0,0,3280,0
174,manomano.fr,leve plaque,https://www.manomano.fr/cat/leve+plaque+placo,2022-05-09 03:10:02,2022-05-09,4,40500,0,0,3280,0
175,manomano.fr,lit 140x190cm,https://www.manomano.fr/cat/lit+140x190,2022-05-09 03:05:58,2022-05-09,4,40500,0,0,3280,0
176,manomano.fr,penderie,https://www.manomano.fr/armoire-et-penderie-2494,2022-05-09 03:13:03,2022-05-09,4,40500,0,0,3280,0
177,manomano.fr,store ggl,https://www.manomano.fr/cat/store+velux+ggl+1,2022-05-09 03:05:59,2022-05-09,4,40500,0,0,3280,0
178,manomano.fr,tanos,https://www.manomano.fr/cat/caisse+tanos,2022-05-09 03:06:08,2022-05-09,4,40500,0,0,3280,0
179,manomano.fr,wc,https://www.manomano.fr/wc-a-poser-1528,2022-05-09 03:12:55,2022-05-09,4,40500,0,0,3280,0
180,manomano.fr,baignoire,https://www.manomano.fr/baignoire-simple-1514,2022-05-09 03:13:03,2022-05-09,6,74000,0,0,3256,0
181,manomano.fr,meubles chaussures,https://www.manomano.fr/meuble-a-chaussures-2495,2022-05-09 03:10:04,2022-05-09,6,74000,0,0,3256,0
